ID;Adresse
1;123 Rue de la Liberté Arc-en-Cielville
2;456 Avenue des Songes Luneville
3;789 Chemin de la Féérie Flottemagie
4;101 Rue des Nuages Crystallineville
5;234 Allée des Mystères Ensorcelville
6;567 Boulevard de l'Aurore Cielétincell
7;890 Promenade de l'Enchantement Brumeville
8;210 Avenue des Lumières Sylveclaire
9;543 Rue des Étoiles Fleurétoile
10;876 Chemin de la Magie Auroreville
11;123 Rue des Mystères Ombreville
12;12 Forêt Enchantée Clairière des Lutins
13;234 Cité Sous-Marine d'Abyssia Rue des Coraux
14;"234 Château Hanté de la Lune Noire; Salle des Fantômes"
15;67 Rue Montagne Gelée Sommet de Cristal
16;345 Avenue Bibliothèque Antique
17;Forêt de Lumière Clairière des Fées
18;Caverne des Dragons Antre du Gardien
19;456 Boulevard de la Fantaisie Revopolis
20;123 Rue des Etoiles Lumiereville Mystica
21;789 Avenue des Arc-en-Ciel Feeriqueville
22;234 Allée de l'Aventure Arcadia Légendaville
